pos_weight,best_val_f1,test_f1,test_recall,test_auc,true_pairs,pred_pairs
5,0.30340345529917834,0.29616809978078695,0.31730071840434054,0.9592494624745094,51744,58941
6,0.30302793989237975,0.29855952168270977,0.31402509305843757,0.9526850952506575,51744,56884
7,0.3002816629411397,0.29509738463745483,0.3642210700851806,0.9585542527099683,51744,75718
8,0.2987483702343881,0.2972127352695594,0.38431509293219507,0.9586609465462163,51744,81764
9,0.296311218151755,0.2938709910275974,0.373356031749187,0.9574246881503681,51744,79439
10,0.2918484110536493,0.2796788559497225,0.4644460837947654,0.9601625669955018,51744,119639
11,0.28715640847656326,0.2855650441858596,0.4163870162173448,0.9584303966585599,51744,98820
12,0.2864757405609256,0.24904389873770336,0.5418014259665728,0.9607469070184216,51744,172612
13,0.28630458773776624,0.23442944863704313,0.5627421697679734,0.9600151009712212,51744,195859
14,0.28130151048088026,0.2550315573569296,0.5128259855077135,0.9585715663780181,51744,155703
15,0.2837615026445909,0.24657055480728823,0.5274568577519355,0.9594747961573329,51744,168998
